keyword,content,filename,filepath
edgecapture,"[Keyword]: edgecapture

[Design Category]: Sequential Logic

[Design Function Description]:
This design detects the falling edges of a 32-bit input signal. It stores the result of the detected falling edges in a 32-bit output register. A falling edge is detected when a bit changes from 1 to 0.

PyRTL refinement: the previous-sample register continues tracking the input during reset handling so that post-reset falling-edge capture matches the intended behavior.

[Input Signal Description]:
- clk: Clock signal that triggers the sequential logic on its rising edge.
- reset: Active-high reset signal that initializes the output to zero.
- in[31:0]: 32-bit input signal that is processed and stored on each clock cycle.

[Output Signal Description]:
- out[31:0]: 32-bit output signal that is updated based on the bitwise operation involving the current and previous input values.

[Design Detail]:
```python
import pyrtl

def TopModule(reset, in_):  # in_ corresponds to the original Verilog signal named ""in""
    d_last = pyrtl.Register(bitwidth=32, name='d_last', reset_value=0)
    out = pyrtl.Register(bitwidth=32, name='out', reset_value=0)

    d_last.next <<= in_
    out.next <<= pyrtl.select(
        reset,
        truecase=pyrtl.Const(0, bitwidth=32),
        falsecase=out | ((~in_) & d_last),
    )
    return out
```
",<_io.TextIOWrapper name='./knowledge_base/edgecapture.txt' mode='r' encoding='utf-8'>,edgecapture.txt
universal_binary_counter,"[Keyword]: universal_binary_counter

[Design Category]: Sequential Logic

[Design Function Description]:
This design is a universal binary counter that can count up or down based on the control signals. It supports synchronous clear, load, enable, and direction control (up or down). The counter can be parameterized to have a different bit-width (N), allowing it to count to different maximum values.

PyRTL refinement: the counter width is inferred from the bitwidth of `d`, which keeps the function portable across different widths.

[Input Signal Description]:
- `clk`: Clock signal for synchronizing the counter operations.
- `rst_n`: Active-low reset signal to initialize the counter to zero.
- `syn_clr`: Synchronous clear signal to reset the counter to zero during normal operation.
- `load`: Signal to load a specific value into the counter.
- `en`: Enable signal to allow counting when high.
- `up`: Direction control signal; when high, the counter counts up, and when low, it counts down.
- `d[N-1:0]`: Data input for loading a specific value into the counter.

[Output Signal Description]:
- `q[N-1:0]`: Current count value of the counter.
- `max_tick`: Output signal that goes high when the counter reaches its maximum value.
- `min_tick`: Output signal that goes high when the counter reaches zero.

[Design Detail]:
```python
import pyrtl

def TopModule(rst_n, syn_clr, load, en, up, d):
    width = len(d)
    q = pyrtl.Register(bitwidth=width, name='q', reset_value=0)
    all_ones = pyrtl.Const((1 << width) - 1, bitwidth=width)

    q_plus = (q + pyrtl.Const(1, bitwidth=width))[0:width]
    q_minus = (q - pyrtl.Const(1, bitwidth=width))[0:width]

    next_q = pyrtl.select(
        syn_clr,
        truecase=pyrtl.Const(0, bitwidth=width),
        falsecase=pyrtl.select(
            load,
            truecase=d,
            falsecase=pyrtl.select(en & up, truecase=q_plus, falsecase=pyrtl.select(en & ~up, truecase=q_minus, falsecase=q)),
        ),
    )
    q.next <<= pyrtl.select(~rst_n, truecase=pyrtl.Const(0, bitwidth=width), falsecase=next_q)

    max_tick = pyrtl.WireVector(bitwidth=1, name='max_tick')
    min_tick = pyrtl.WireVector(bitwidth=1, name='min_tick')
    max_tick <<= q == all_ones
    min_tick <<= q == pyrtl.Const(0, bitwidth=width)
    return q, max_tick, min_tick
```
",<_io.TextIOWrapper name='./knowledge_base/universal_binary_counter.txt' mode='r' encoding='utf-8'>,universal_binary_counter.txt
dual_address_ram,"[Keyword]: dual_address_ram

[Design Category]: Memory Circuits

[Design Function Description]:
The design implements a dual-port RAM with separate read and write ports. It allows simultaneous read and write operations on different addresses. Port 0 is used for writing data into the RAM when enabled, and both ports can be used for reading data from the RAM when enabled.

PyRTL refinement: the translation uses one `MemBlock` write port and two asynchronous read ports. Disabled outputs drive zero instead of high impedance.

[Input Signal Description]:
- `clk`: Clock signal used to synchronize write operations.
- `wr_en`: Write enable signal for port 0, allowing data to be written to the RAM when high.
- `data_in[7:0]`: 8-bit input data to be written into the RAM at the address specified by `addr_in_0`.
- `addr_in_0[3:0]`: 4-bit address input for port 0, specifying the location in RAM to write data.
- `addr_in_1[3:0]`: 4-bit address input for port 1, specifying the location in RAM to read data.
- `port_en_0`: Enable signal for port 0, allowing read and write operations when high.
- `port_en_1`: Enable signal for port 1, allowing read operations when high.

[Output Signal Description]:
- `data_out_0[7:0]`: 8-bit output data from port 0, providing the data stored at the address specified by `addr_in_0` when port 0 is enabled.
- `data_out_1[7:0]`: 8-bit output data from port 1, providing the data stored at the address specified by `addr_in_1` when port 1 is enabled.

[Design Detail]:
```python
import pyrtl

def TopModule(clk, wr_en, data_in, addr_in_0, addr_in_1, port_en_0, port_en_1):
    ram = pyrtl.MemBlock(
        bitwidth=8,
        addrwidth=4,
        name='ram',
        max_read_ports=2,
        max_write_ports=1,
        asynchronous=True,
    )

    ram[addr_in_0] <<= pyrtl.MemBlock.EnabledWrite(data_in, port_en_0 & wr_en)

    data_out_0 = pyrtl.WireVector(bitwidth=8, name='data_out_0')
    data_out_1 = pyrtl.WireVector(bitwidth=8, name='data_out_1')
    data_out_0 <<= pyrtl.select(port_en_0, truecase=ram[addr_in_0], falsecase=pyrtl.Const(0, bitwidth=8))
    data_out_1 <<= pyrtl.select(port_en_1, truecase=ram[addr_in_1], falsecase=pyrtl.Const(0, bitwidth=8))
    return data_out_0, data_out_1
```
",<_io.TextIOWrapper name='./knowledge_base/dual_address_ram.txt' mode='r' encoding='utf-8'>,dual_address_ram.txt
Universal_shift_reg,"[Keyword]: Universal_shift_reg

[Design Category]: Sequential Logic

[Design Function Description]:
The design is a 4-bit universal shift register. It can perform various operations such as hold, shift left, shift right, parallel load, and more, based on the control signals. The shift register uses multiplexers to select the operation and D flip-flops to store the state.

[Input Signal Description]:
- `clk`: Clock signal used to synchronize the operations of the shift register.
- `clear`: Asynchronous clear signal to reset the output to a known state.
- `S[2:0]`: 3-bit control signal that determines the operation of the shift register (e.g., hold, shift left, shift right, parallel load).
- `I[3:0]`: 4-bit input data used for parallel loading into the shift register.

[Output Signal Description]:
- `O[3:0]`: 4-bit output of the shift register, representing the current state of the register.

[Design Detail]:
```python
import pyrtl

def _mux8_expr(sel, options):
    result = options[0]
    for idx in range(1, 8):
        result = pyrtl.select(sel == pyrtl.Const(idx, bitwidth=3), truecase=options[idx], falsecase=result)
    return result

def TopModule(clear, S, I):
    O = pyrtl.Register(bitwidth=4, name='O', reset_value=0)

    d0 = _mux8_expr(S, [O[0], pyrtl.Const(0, bitwidth=1), O[1], I[0], ~O[0], O[3], O[1], O[2]])
    d1 = _mux8_expr(S, [O[1], O[0], O[2], I[1], ~O[1], O[0], O[2], O[3]])
    d2 = _mux8_expr(S, [O[2], O[1], O[3], I[2], ~O[2], O[1], O[3], O[0]])
    d3 = _mux8_expr(S, [O[3], O[2], pyrtl.Const(0, bitwidth=1), I[3], ~O[3], O[2], O[0], O[1]])

    next_state = pyrtl.concat(d3, d2, d1, d0)
    O.next <<= pyrtl.select(clear, truecase=pyrtl.Const(0, bitwidth=4), falsecase=next_state)
    return O
```
",<_io.TextIOWrapper name='./knowledge_base/Universal_shift_reg.txt' mode='r' encoding='utf-8'>,Universal_shift_reg.txt
bcd_counter,"[Keyword]: bcd_counter

[Design Category]: Sequential Logic

[Design Function Description]:
This design is a Binary Coded Decimal (BCD) counter that counts from 00 to 49. It uses a two-digit BCD format, where each digit is represented by a 4-bit binary number. The counter increments on the rising edge of a debounced switch signal and resets when the reset signal is active low.

PyRTL refinement: the external debounce helper is not recreated here, so the switch input is assumed to arrive already debounced and the design increments on a detected rising edge of `sw_hi = ~sw`.

[Input Signal Description]:
- `clk`: Clock signal used to synchronize the counter operations.
- `rst_n`: Active-low reset signal. When low, it resets the counter to 00.
- `sw`: Active-low switch input. It is debounced and used to trigger the counting operation.

[Output Signal Description]:
- `dig1`: 4-bit output representing the tens digit of the BCD counter.
- `dig0`: 4-bit output representing the units digit of the BCD counter.
- `done_tick`: Signal that goes high for one clock cycle when the counter increments.

[Design Detail]:
```python
import pyrtl

def TopModule(rst_n, sw):
    idle = pyrtl.Const(0, bitwidth=1)
    done = pyrtl.Const(1, bitwidth=1)

    state_reg = pyrtl.Register(bitwidth=1, name='state_reg', reset_value=0)
    dig1 = pyrtl.Register(bitwidth=4, name='dig1', reset_value=0)
    dig0 = pyrtl.Register(bitwidth=4, name='dig0', reset_value=0)
    sw_prev = pyrtl.Register(bitwidth=1, name='sw_prev', reset_value=0)

    sw_hi = ~sw
    r_edg = sw_hi & ~sw_prev

    dig0_inc = (dig0 + pyrtl.Const(1, bitwidth=4))[0:4]
    dig1_inc = (dig1 + pyrtl.Const(1, bitwidth=4))[0:4]
    next_dig0 = pyrtl.select(dig0 == pyrtl.Const(9, bitwidth=4), truecase=pyrtl.Const(0, bitwidth=4), falsecase=dig0_inc)
    next_dig1 = pyrtl.select(
        dig0 == pyrtl.Const(9, bitwidth=4),
        truecase=pyrtl.select(dig1 == pyrtl.Const(4, bitwidth=4), truecase=pyrtl.Const(0, bitwidth=4), falsecase=dig1_inc),
        falsecase=dig1,
    )

    state_reg.next <<= pyrtl.select(
        ~rst_n,
        truecase=pyrtl.Const(0, bitwidth=1),
        falsecase=pyrtl.select(state_reg == idle, truecase=pyrtl.select(r_edg, truecase=done, falsecase=idle), falsecase=idle),
    )
    dig0.next <<= pyrtl.select(
        ~rst_n,
        truecase=pyrtl.Const(0, bitwidth=4),
        falsecase=pyrtl.select((state_reg == idle) & r_edg, truecase=next_dig0, falsecase=dig0),
    )
    dig1.next <<= pyrtl.select(
        ~rst_n,
        truecase=pyrtl.Const(0, bitwidth=4),
        falsecase=pyrtl.select((state_reg == idle) & r_edg, truecase=next_dig1, falsecase=dig1),
    )
    sw_prev.next <<= pyrtl.select(~rst_n, truecase=pyrtl.Const(0, bitwidth=1), falsecase=sw_hi)

    done_tick = pyrtl.WireVector(bitwidth=1, name='done_tick')
    done_tick <<= state_reg == done
    return dig1, dig0, done_tick
```
",<_io.TextIOWrapper name='./knowledge_base/bcd_counter.txt' mode='r' encoding='utf-8'>,bcd_counter.txt
period_counter,"[Keyword]: period_counter

[Design Category]: Sequential Logic

[Design Function Description]:
The design is a period counter that measures the time period of a signal in microseconds. It uses a finite state machine (FSM) to detect the rising edge of the input signal and counts the time between consecutive rising edges. The period is output in terms of microseconds, with a maximum measurable period of 1.023 seconds.

[Input Signal Description]:
- `clk`: Clock signal used to synchronize the operations of the FSM.
- `rst_n`: Active-low reset signal to initialize the FSM and registers.
- `start`: Signal to initiate the period measurement process.
- `signal`: Input signal whose period is to be measured.

[Output Signal Description]:
- `ready`: Indicates that the FSM is in the idle state and ready to start a new measurement.
- `done_tick`: Indicates that the period measurement is complete.
- `period[19:0]`: 20-bit output representing the measured period in microseconds.

[Design Detail]:
```python
import pyrtl

def TopModule(rst_n, start, signal):
    idle = pyrtl.Const(0, bitwidth=2)
    waiting = pyrtl.Const(1, bitwidth=2)
    op = pyrtl.Const(2, bitwidth=2)
    done = pyrtl.Const(3, bitwidth=2)
    n_minus_1 = pyrtl.Const(49, bitwidth=6)

    state_reg = pyrtl.Register(bitwidth=2, name='state_reg', reset_value=0)
    period_reg = pyrtl.Register(bitwidth=20, name='period_reg', reset_value=0)
    tick_reg = pyrtl.Register(bitwidth=6, name='tick_reg', reset_value=0)
    signal_reg = pyrtl.Register(bitwidth=1, name='signal_reg', reset_value=0)

    edg = signal & ~signal_reg
    next_state = state_reg
    next_state = pyrtl.select(state_reg == idle, truecase=pyrtl.select(start, truecase=waiting, falsecase=idle), falsecase=next_state)
    next_state = pyrtl.select(state_reg == waiting, truecase=pyrtl.select(edg, truecase=op, falsecase=waiting), falsecase=next_state)
    next_state = pyrtl.select(state_reg == op, truecase=pyrtl.select(edg, truecase=done, falsecase=op), falsecase=next_state)
    next_state = pyrtl.select(state_reg == done, truecase=idle, falsecase=next_state)

    tick_plus = (tick_reg + pyrtl.Const(1, bitwidth=6))[0:6]
    period_plus = (period_reg + pyrtl.Const(1, bitwidth=20))[0:20]

    next_tick = tick_reg
    next_tick = pyrtl.select((state_reg == idle) & start, truecase=pyrtl.Const(0, bitwidth=6), falsecase=next_tick)
    next_tick = pyrtl.select(
        (state_reg == op) & ~edg,
        truecase=pyrtl.select(tick_reg == n_minus_1, truecase=pyrtl.Const(0, bitwidth=6), falsecase=tick_plus),
        falsecase=next_tick,
    )

    next_period = period_reg
    next_period = pyrtl.select((state_reg == idle) & start, truecase=pyrtl.Const(0, bitwidth=20), falsecase=next_period)
    next_period = pyrtl.select(
        (state_reg == op) & ~edg & (tick_reg == n_minus_1),
        truecase=period_plus,
        falsecase=next_period,
    )

    state_reg.next <<= pyrtl.select(~rst_n, truecase=idle, falsecase=next_state)
    tick_reg.next <<= pyrtl.select(~rst_n, truecase=pyrtl.Const(0, bitwidth=6), falsecase=next_tick)
    period_reg.next <<= pyrtl.select(~rst_n, truecase=pyrtl.Const(0, bitwidth=20), falsecase=next_period)
    signal_reg.next <<= pyrtl.select(~rst_n, truecase=pyrtl.Const(0, bitwidth=1), falsecase=signal)

    ready = pyrtl.WireVector(bitwidth=1, name='ready')
    done_tick = pyrtl.WireVector(bitwidth=1, name='done_tick')
    period = pyrtl.WireVector(bitwidth=20, name='period')
    ready <<= state_reg == idle
    done_tick <<= state_reg == done
    period <<= period_reg
    return ready, done_tick, period
```
",<_io.TextIOWrapper name='./knowledge_base/period_counter.txt' mode='r' encoding='utf-8'>,period_counter.txt
Rotate_16,"[Keyword]: Rotate_16

[Design Category]: Combinational Logic

[Design Function Description]:
The design implements a 16-bit barrel shifter that can perform both left and right rotations. The direction of the shift is determined by the control signal `LR`. If `LR` is high, the circuit performs a left rotation; otherwise, it performs a right rotation. The amount of rotation is specified by a 4-bit input `amt`, allowing for rotations from 0 to 15 positions.

[Input Signal Description]:
- `num[15:0]`: A 16-bit input signal representing the number to be rotated.
- `amt[3:0]`: A 4-bit input signal specifying the number of positions to rotate the input number.
- `LR`: A control signal that determines the direction of rotation. If `LR` is high, a left rotation is performed; if low, a right rotation is performed.

[Output Signal Description]:
- `real_out[15:0]`: A 16-bit output signal that represents the result of the rotation operation on the input number `num`, based on the specified direction and amount.

[Design Detail]:
```python
import pyrtl

def TopModule(num, amt, LR):
    right1 = pyrtl.select(amt[0], truecase=pyrtl.concat(num[0:1], num[1:16]), falsecase=num)
    right2 = pyrtl.select(amt[1], truecase=pyrtl.concat(right1[0:2], right1[2:16]), falsecase=right1)
    right4 = pyrtl.select(amt[2], truecase=pyrtl.concat(right2[0:4], right2[4:16]), falsecase=right2)
    right8 = pyrtl.select(amt[3], truecase=pyrtl.concat(right4[0:8], right4[8:16]), falsecase=right4)

    left1 = pyrtl.select(amt[0], truecase=pyrtl.concat(num[0:15], num[15:16]), falsecase=num)
    left2 = pyrtl.select(amt[1], truecase=pyrtl.concat(left1[0:14], left1[14:16]), falsecase=left1)
    left4 = pyrtl.select(amt[2], truecase=pyrtl.concat(left2[0:12], left2[12:16]), falsecase=left2)
    left8 = pyrtl.select(amt[3], truecase=pyrtl.concat(left4[0:8], left4[8:16]), falsecase=left4)

    real_out = pyrtl.WireVector(bitwidth=16, name='real_out')
    real_out <<= pyrtl.select(LR, truecase=left8, falsecase=right8)
    return real_out
```
",<_io.TextIOWrapper name='./knowledge_base/Rotate_16.txt' mode='r' encoding='utf-8'>,Rotate_16.txt
Dff8,"[Keyword]: Dff8

[Design Category]: Sequential Logic

[Design Function Description]:
This design is an 8-bit register that captures and holds the input data on the rising edge of the clock signal. It is a basic storage element used in sequential circuits.

[Input Signal Description]:
clk: Clock signal used to synchronize data capture.
d[7:0]: 8-bit data input signal that is captured and stored on the rising edge of the clock.

[Output Signal Description]:
q[7:0]: 8-bit output signal that holds the value of the input data after being captured on the rising edge of the clock.

[Design Detail]:
```python
import pyrtl

def TopModule(d):
    q = pyrtl.Register(bitwidth=8, name='q', reset_value=0)
    q.next <<= d
    return q
```
",<_io.TextIOWrapper name='./knowledge_base/Dff8.txt' mode='r' encoding='utf-8'>,Dff8.txt
dual_edge_detector_simpler,"[Keyword]: dual_edge_detector_simpler

[Design Category]: Sequential Logic

[Design Function Description]:
The design is a dual-edge detector circuit. It detects changes in the input signal `level` on both the rising and falling edges of the clock signal `clk`. The output `edg` indicates when a change in the `level` input has occurred.

[Input Signal Description]:
- `clk`: Clock signal used to synchronize the edge detection process.
- `rst_n`: Active-low reset signal. When asserted (low), it resets the internal state of the circuit.
- `level`: Input signal whose edges (transitions) are to be detected.

[Output Signal Description]:
- `edg`: Output signal that indicates a detected edge (transition) in the `level` input. It is high when a change in the `level` input is detected.

[Design Detail]:
```python
import pyrtl

def TopModule(rst_n, level):
    level_reg = pyrtl.Register(bitwidth=1, name='level_reg', reset_value=0)
    level_reg.next <<= pyrtl.select(~rst_n, truecase=pyrtl.Const(0, bitwidth=1), falsecase=level)

    edg = pyrtl.WireVector(bitwidth=1, name='edg')
    edg <<= pyrtl.select(~rst_n, truecase=pyrtl.Const(0, bitwidth=1), falsecase=level ^ level_reg)
    return edg
```
",<_io.TextIOWrapper name='./knowledge_base/dual_edge_detector_simpler.txt' mode='r' encoding='utf-8'>,dual_edge_detector_simpler.txt
bcd_adder,"[Keyword]: bcd_adder

[Design Category]: Arithmetic Circuits

[Design Function Description]:
The design is a Binary Coded Decimal (BCD) adder. It takes two 4-bit BCD numbers and an optional carry-in bit as inputs, and produces a 4-bit BCD sum and a carry-out bit. If the sum of the inputs exceeds 9, it adjusts the result by adding 6 to ensure the output remains a valid BCD number.

[Input Signal Description]:
- a[3:0]: A 4-bit input representing the first BCD number.
- b[3:0]: A 4-bit input representing the second BCD number.
- cin: A 1-bit input representing the carry-in from a previous addition.

[Output Signal Description]:
- sum[3:0]: A 4-bit output representing the BCD sum of the inputs.
- cout: A 1-bit output representing the carry-out, indicating if the sum exceeded the BCD range.

[Design Detail]:
```python
import pyrtl

def TopModule(a, b, cin):
    temp = (
        pyrtl.concat(pyrtl.Const(0, bitwidth=1), a)
        + pyrtl.concat(pyrtl.Const(0, bitwidth=1), b)
        + pyrtl.concat(pyrtl.Const(0, bitwidth=4), cin)
    )
    needs_correction = temp > pyrtl.Const(9, bitwidth=5)
    corrected = (temp + pyrtl.Const(6, bitwidth=5))[0:5]

    sum_ = pyrtl.WireVector(bitwidth=4, name='sum')
    cout = pyrtl.WireVector(bitwidth=1, name='cout')
    sum_ <<= pyrtl.select(needs_correction, truecase=corrected[0:4], falsecase=temp[0:4])
    cout <<= pyrtl.select(
        needs_correction,
        truecase=pyrtl.Const(1, bitwidth=1),
        falsecase=pyrtl.Const(0, bitwidth=1),
    )
    return sum_, cout
```
",<_io.TextIOWrapper name='./knowledge_base/bcd_adder.txt' mode='r' encoding='utf-8'>,bcd_adder.txt
